,Predictor,ModelDF,QuasiLLK,Scale,Deviance,DevDF,DevSig
0,Intercept,1,-2346343.298732819,85.2843595061362,,,
1,f_primary_age_tier,5.0,-2238860.905461769,81.3894469049647,2520.565174985376,4.0,0.0
2,f_fire_alarm_type,7.0,-2213118.7947896128,80.45949228494193,632.566300695332,2.0,4.3648878044454664e-138
3,f_aoi_tier,11.0,-2187491.540321325,79.53936223988528,637.0225250124769,4.0,1.5024583469675892e-136
4,f_mile_fire_station,14.0,-2162219.601481092,78.62902656391476,635.4574170211309,3.0,2.0717639399797817e-137
5,f_residence_location,16.0,-2156452.585091503,78.42501309566508,146.6892480196607,2.0,1.402279274479776e-32
6,,,,,,,
7,,,,,,,
