,Maintenance_flag,Speed_sensor,Vibration,Engine_Load,Coolant_Temp,Intake_Pressure,Engine_RPM,Speed_OBD,Intake_Air,Flow_Rate,Throttle_Pos,Voltage,Ambient,Accel,Engine_Oil_Temp,Speed_GPS,GPS_Longitude,GPS_Latitude,GPS_Bearing,GPS_Altitude,Turbo_Boost,Trip_Distance,Litres_Per_km,Accel_Ssor_Total,CO2,Trip_Time,CO_emission,HC_emission,PM_emission,NOx_emission,CO2_emission,Fuel_level,Oil_life,Vibration_alert,VibrationAlert_Total,Vibration_Recent,Turbo_alert,Emission_alert,Fog_control,Engine_control,fleetid,truckid
3313,0,73,247.074973,3.529412,88,113,1106.5,73,10,18.69,80.0,14.2,7,14.901961,86,77.5802,8.054551727,48.26414067,305.7,364,2.320604,0.22743250513045896,0.0,-0.044055,0.0,5199,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0631X1
3314,1,48,248.465698,27.450981,87,108,1187.5,48,14,19.52,80.0,14.2,7,33.72549,82,49.969566,8.851503359,49.04442275,31.3,130,1.595415,0.7630623781141052,2.717876,0.08896,71.887764,9040,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00713F1,Truck_0501X1
3315,1,20,250.02331,16.862745,86,110,723.5,20,14,9.94,60.0,14.16,7,14.901961,82,29.628788,8.202013075,48.80547552,32.1,125,1.88549,0.7620856135452418,1.413976,0.024569,37.399643,9018,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00913F1,Truck_0281X1
3316,1,44,248.688214,37.2549,89,114,1158.5,44,14,19.3,78.82353,14.22,7,37.64706,86,43.488533,8.864705615,48.69985848,279.8,393,2.465641,0.24107229621497192,0.0,-0.044396,12.824697,5484,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01213F1,Truck_0511X1
3317,1,12,250.468342,43.137257,87,103,808.5,12,18,7.47,36.862747,14.34,6,14.901961,82,12.925804,8.429269727,48.23012667,20.8,161,0.870226,0.8762742703506692,6.553023,0.061459,,10055,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
3318,1,96,245.795506,65.4902,90,110,1215.5,96,10,19.77,72.54902,14.2,8,14.901961,87,102.636024,7.481790763,48.63573634,289.2,551,1.88549,0.336599848305244,3.25483,-0.008891,86.09019,6274,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00413F1,Truck_0351X1
3319,1,73,247.074973,63.92157,90,113,1157.0,73,11,20.44,70.588234,14.16,7,14.901961,88,75.45654,8.706941615,48.70993848,285.9,403,2.755716,0.25173761231044045,2.784014,-0.029534,73.637115,5599,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01213F1,Truck_0511X1
3320,1,67,247.408747,40.784313,89,112,1239.0,67,13,21.19,68.62745,14.14,7,29.803923,86,68.293144,7.707360763,48.66012034,8.2,154,2.175566,0.8835794776635187,3.91578,0.019876,103.57232,10219,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00413F1,Truck_0641X1
3321,1,121,244.404781,65.882355,89,125,1491.5,121,7,27.99,80.0,14.12,6,14.901961,85,123.58804,8.666029794,49.51299977,22.4,141,4.061056,0.860309247369863,3.773833,0.195556,99.81781,9608,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00513F1,Truck_0051X1
3322,1,11,250.523971,13.725491,86,106,931.5,11,13,13.3,80.0,14.4,7,25.490196,82,7.668,8.315275727,48.14701467,286.5,321,1.30534,0.206513719823459,4.127869,-0.039398,,4843,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0631X1
3323,1,18,250.134568,30.19608,86,114,1203.0,18,14,18.47,63.52941,14.22,8,30.19608,82,16.919998,8.352589727,48.13005867,310.4,321,2.465641,0.20361401753252034,7.982888,-0.049072,211.14725,4743,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0631X1
3324,1,97,245.739877,83.92157,90,125,1221.5,97,9,22.72,80.0,14.14,8,36.47059,85,99.072235,7.482198275,48.31604604,298.8,411,4.061056,0.28951658910491856,4.620317,-0.041246,122.20729,5908,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00313F1,Truck_0751X1
3325,1,82,246.574312,99.60784,90,154,1302.0,82,10,32.69,80.0,14.24,8,36.07843,86,83.232285,7.540620275,48.32888004,279.7,448,8.267151,0.2937727193147204,10.124394,-0.057607,267.79004,5937,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00313F1,Truck_0751X1
3326,1,94,245.906764,47.058823,90,109,1177.0,94,10,18.69,78.43137,14.16,8,14.901961,86,95.86823,7.392672275,48.27356604,305.8,455,1.740453,0.28218101782188776,2.326927,-0.021255,61.54717,5859,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00313F1,Truck_0751X1
3327,1,26,249.689536,8.235294,87,114,1000.5,26,7,17.47,79.60784,14.28,6,14.901961,83,21.492119,8.364649727,48.14085867,29.3,151,2.465641,0.8664868369061888,4.046695,-0.022303,107.03502,9676,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
3328,1,14,250.357084,30.980392,86,104,726.5,14,9,9.61,68.62745,14.26,8,14.901961,83,23.724436,8.275069075,48.88424952,313.7,387,1.015265,0.19940189802107094,5.043563,-0.048816,133.40215,4546,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00913F1,Truck_0601X1
3329,1,123,244.293523,55.294117,88,120,1518.5,123,7,29.08,76.86275,14.1,6,14.901961,85,127.22441,8.639547359,48.46409675,355.9,141,3.335867,0.8422818625941644,3.330801,0.0865,88.09963,9507,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00713F1,Truck_0201X1
3330,0,86,246.351796,49.411766,89,112,1339.5,86,10,23.88,80.0,14.18,7,31.764706,86,87.1566,9.018115794,49.33992977,280.4,826,2.175566,0.024452207537395014,3.454249,-0.035981,91.364815,3513,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00513F1,Truck_0471X1
3331,1,95,245.851135,80.39216,89,133,1195.5,95,10,22.11,80.0,14.2,8,35.294117,85,101.02033,7.452246275,48.30286404,304.4,387,5.221359,0.28699103461134373,4.688586,-0.08471,124.01301,5892,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00313F1,Truck_0751X1
3332,1,17,250.190197,14.117647,87,107,729.0,17,15,10.49,57.2549,14.2,6,14.901961,83,17.856035,8.410705727,48.19878867,23.2,150,1.450378,0.8729345747989394,1.775032,-0.012618,46.94956,9882,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
3333,1,15,250.301455,37.2549,85,111,984.0,15,14,13.99,58.823532,14.18,7,28.62745,81,21.961887,8.226145075,48.83335152,10.9,124,2.030529,0.7587842994164944,7.72317,0.02735,204.2777,8933,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00913F1,Truck_0281X1
3334,1,26,249.689536,18.431374,87,115,1010.0,26,16,15.74,57.2549,14.24,6,14.901961,83,27.541153,8.440171727,48.25443867,16.8,141,2.61068,0.8787293736100593,2.739534,-0.03281,72.46063,10133,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
